
ID_DATE,ID_OFFRE,ID_REGION,NOUVEAUX_ABONNES,ABONNES_ACTIFS,DESABONNEMENTS
20241006,OFF_FREE,REG_EU_FR,29,1223,5
20231202,OFF_FAM,REG_AS_JP,42,458,11
20230209,OFF_FREE,REG_EU_FR,43,4315,4
20240424,OFF_FAM,REG_NA_US,11,4529,9
20230416,OFF_FREE,REG_EU_FR,10,1574,15
20240614,OFF_DUO,REG_SA_BR,44,2381,12
20241029,OFF_PREM,REG_NA_US,27,432,6
20230623,OFF_FAM,REG_NA_US,41,3634,14
20230227,OFF_DUO,REG_SA_BR,8,2329,9
20230615,OFF_PREM,REG_AS_JP,1,4034,10
20230715,OFF_PREM,REG_EU_FR,9,3787,10
20240305,OFF_DUO,REG_EU_FR,48,2165,18
20240515,OFF_FAM,REG_AS_JP,44,414,12
20240208,OFF_FREE,REG_EU_FR,11,1967,15
20241005,OFF_PREM,REG_NA_US,47,4618,5
20240910,OFF_DUO,REG_EU_FR,9,3680,16
20231030,OFF_DUO,REG_SA_BR,41,4050,2
20230905,OFF_PREM,REG_AS_JP,38,383,10
20231227,OFF_FAM,REG_EU_FR,38,1325,3
20240912,OFF_PREM,REG_NA_US,7,773,13
20230208,OFF_PREM,REG_SA_BR,21,828,3
20230820,OFF_PREM,REG_AS_JP,4,3621,17
20240214,OFF_FAM,REG_SA_BR,44,4933,8
20230603,OFF_PREM,REG_NA_US,18,3677,3
20240816,OFF_PREM,REG_NA_US,34,1715,17
20241005,OFF_DUO,REG_NA_US,23,1363,19
20240911,OFF_PREM,REG_NA_US,32,4324,15
20240302,OFF_FAM,REG_NA_US,2,3379,4
20240410,OFF_DUO,REG_AS_JP,2,2656,17
20240806,OFF_PREM,REG_SA_BR,43,724,9
20230222,OFF_FREE,REG_EU_FR,9,2866,19
20230609,OFF_FREE,REG_SA_BR,20,2775,16
20230514,OFF_DUO,REG_EU_FR,39,2192,7
20241229,OFF_FREE,REG_NA_US,22,3790,17
20241110,OFF_PREM,REG_AS_JP,33,1715,7
20240413,OFF_PREM,REG_NA_US,45,4273,8
20241028,OFF_FREE,REG_SA_BR,40,2362,4
20230615,OFF_FAM,REG_EU_FR,40,4273,18
20230903,OFF_PREM,REG_NA_US,39,1632,17
20240304,OFF_FAM,REG_NA_US,0,4387,17
20231004,OFF_PREM,REG_NA_US,42,1703,7
20241005,OFF_FAM,REG_NA_US,4,3019,17
20241030,OFF_PREM,REG_AS_JP,11,1415,12
20240312,OFF_FREE,REG_SA_BR,13,2412,12
20230222,OFF_FAM,REG_NA_US,11,4609,14
